Sample in Buffer	Sample in Window	/dadata
1160	1160	17	
1161	1161	17	
1162	1162	16	
1163	1163	15	
1164	1164	14	
1165	1165	14	
1166	1166	13	
1167	1167	12	
1168	1168	12	
1169	1169	11	
1170	1170	10	
1171	1171	10	
1172	1172	9	
1173	1173	9	
1174	1174	8	
1175	1175	7	
1176	1176	7	
1177	1177	6	
1178	1178	6	
1179	1179	5	
1180	1180	5	
1181	1181	5	
1182	1182	4	
1183	1183	4	
1184	1184	3	
1185	1185	3	
1186	1186	3	
1187	1187	2	
1188	1188	2	
1189	1189	2	
1190	1190	2	
1191	1191	1	
1192	1192	1	
1193	1193	1	
1194	1194	1	
1195	1195	1	
1196	1196	0	
1197	1197	0	
1198	1198	0	
1199	1199	0	
1200	1200	0	
1201	1201	0	
1202	1202	0	
1203	1203	0	
1204	1204	0	
1205	1205	0	
1206	1206	0	
1207	1207	0	
1208	1208	0	
1209	1209	0	
1210	1210	1	
1211	1211	1	
1212	1212	1	
1213	1213	1	
1214	1214	1	
1215	1215	2	
1216	1216	2	
1217	1217	2	
1218	1218	2	
1219	1219	3	
1220	1220	3	
1221	1221	3	
1222	1222	4	
1223	1223	4	
1224	1224	5	
1225	1225	5	
1226	1226	5	
1227	1227	6	
1228	1228	6	
1229	1229	7	
1230	1230	7	
1231	1231	8	
1232	1232	9	
1233	1233	9	
1234	1234	10	
1235	1235	10	
1236	1236	11	
1237	1237	12	
1238	1238	12	
1239	1239	13	
1240	1240	14	
1241	1241	15	
1242	1242	16	
1243	1243	17	
1244	1244	17	
1245	1245	18	
1246	1246	19	
1247	1247	20	
1248	1248	21	
1249	1249	21	
1250	1250	22	
1251	1251	23	
1252	1252	24	
1253	1253	25	
1254	1254	26	
1255	1255	27	
1256	1256	28	
1257	1257	29	
1258	1258	30	
1259	1259	31	
1260	1260	32	
1261	1261	33	
1262	1262	34	
1263	1263	35	
1264	1264	36	
1265	1265	37	
1266	1266	38	
1267	1267	40	
1268	1268	41	
1269	1269	42	
1270	1270	43	
1271	1271	44	
1272	1272	45	
1273	1273	47	
1274	1274	48	
1275	1275	49	
1276	1276	50	
1277	1277	52	
1278	1278	53	
1279	1279	54	
1280	1280	55	
1281	1281	57	
1282	1282	59	
1283	1283	61	
1284	1284	62	
1285	1285	63	
1286	1286	65	
1287	1287	66	
1288	1288	67	
1289	1289	69	
1290	1290	70	
1291	1291	72	
1292	1292	73	
1293	1293	74	
1294	1294	76	
1295	1295	77	
1296	1296	79	
1297	1297	80	
1298	1298	82	
1299	1299	83	
1300	1300	85	
1301	1301	86	
1302	1302	88	
1303	1303	89	
1304	1304	90	
1305	1305	92	
1306	1306	93	
1307	1307	95	
1308	1308	97	
1309	1309	98	
1310	1310	100	
1311	1311	101	
1312	1312	103	
1313	1313	104	
1314	1314	106	
1315	1315	107	
1316	1316	109	
1317	1317	110	
1318	1318	112	
1319	1319	113	
1320	1320	115	
1321	1321	117	
1322	1322	118	
1323	1323	120	
1324	1324	123	
1325	1325	124	
1326	1326	126	
1327	1327	128	
1328	1328	129	
1329	1329	131	
1330	1330	132	
1331	1331	134	
1332	1332	135	
1333	1333	137	
1334	1334	138	
1335	1335	140	
1336	1336	142	
1337	1337	143	
1338	1338	145	
1339	1339	146	
1340	1340	148	
1341	1341	149	
1342	1342	151	
1343	1343	152	
1344	1344	154	
1345	1345	155	
1346	1346	157	
1347	1347	158	
1348	1348	160	
1349	1349	162	
1350	1350	163	
1351	1351	165	
1352	1352	166	
1353	1353	167	
1354	1354	169	
1355	1355	170	
1356	1356	172	
1357	1357	173	
1358	1358	175	
1359	1359	176	
1360	1360	178	
1361	1361	179	
1362	1362	181	
1363	1363	182	
1364	1364	183	
1365	1365	186	
1366	1366	188	
1367	1367	189	
1368	1368	190	
1369	1369	192	
1370	1370	193	
1371	1371	194	
1372	1372	196	
1373	1373	197	
1374	1374	198	
1375	1375	200	
1376	1376	201	
1377	1377	202	
1378	1378	203	
1379	1379	205	
1380	1380	206	
1381	1381	207	
1382	1382	208	
1383	1383	210	
1384	1384	211	
1385	1385	212	
1386	1386	213	
1387	1387	214	
1388	1388	215	
1389	1389	217	
1390	1390	218	
1391	1391	219	
1392	1392	220	
1393	1393	221	
1394	1394	222	
1395	1395	223	
1396	1396	224	
1397	1397	225	
1398	1398	226	
1399	1399	227	
1400	1400	228	
1401	1401	229	
1402	1402	230	
1403	1403	231	
1404	1404	232	
1405	1405	233	
1406	1406	234	
1407	1407	235	
1408	1408	236	
1409	1409	237	
1410	1410	238	
1411	1411	238	
1412	1412	239	
1413	1413	240	
1414	1414	241	
1415	1415	241	
1416	1416	242	
1417	1417	243	
1418	1418	243	
1419	1419	244	
1420	1420	245	
1421	1421	245	
1422	1422	246	
1423	1423	246	
1424	1424	247	
1425	1425	248	
1426	1426	248	
1427	1427	249	
1428	1428	249	
1429	1429	250	
1430	1430	250	
1431	1431	250	
1432	1432	251	
1433	1433	251	
1434	1434	252	
1435	1435	252	
1436	1436	252	
1437	1437	253	
1438	1438	253	
1439	1439	253	
1440	1440	253	
1441	1441	254	
1442	1442	254	
1443	1443	254	
1444	1444	254	
1445	1445	254	
1446	1446	255	
1447	1447	255	
1448	1448	255	
1449	1449	255	
1450	1450	255	
1451	1451	255	
1452	1452	255	
1453	1453	255	
1454	1454	255	
1455	1455	255	
1456	1456	255	
1457	1457	255	
1458	1458	255	
1459	1459	255	
1460	1460	254	
1461	1461	254	
1462	1462	254	
1463	1463	254	
1464	1464	254	
1465	1465	253	
1466	1466	253	
1467	1467	253	
1468	1468	253	
1469	1469	252	
1470	1470	252	
1471	1471	252	
1472	1472	251	
1473	1473	251	
1474	1474	250	
1475	1475	250	
1476	1476	250	
1477	1477	249	
1478	1478	249	
1479	1479	248	
1480	1480	248	
1481	1481	247	
1482	1482	246	
1483	1483	246	
1484	1484	245	
1485	1485	245	
1486	1486	244	
1487	1487	243	
1488	1488	243	
1489	1489	242	
1490	1490	241	
1491	1491	240	
1492	1492	239	
1493	1493	238	
1494	1494	238	
1495	1495	237	
1496	1496	236	
